"","lm_id","geneid","Treat","intercept","slope"
"1","SPU_000002_Developmental","SPU_000002","Developmental",-1.1807815193731,0.392207202464006
"2","SPU_000002_Maternal","SPU_000002","Maternal",1.10899636228464,-0.397570059944542
"3","SPU_000003_Developmental","SPU_000003","Developmental",-1.10583580187381,0.554514487074739
"4","SPU_000003_Maternal","SPU_000003","Maternal",0.34211830973247,-0.171994552476585
"5","SPU_000004_Developmental","SPU_000004","Developmental",0.841718800914485,-0.197049706323835
"6","SPU_000004_Maternal","SPU_000004","Maternal",-1.4971800150438,0.328092693122607
"7","SPU_000006_Developmental","SPU_000006","Developmental",-0.0409122584311036,-0.0473924148719712
"8","SPU_000006_Maternal","SPU_000006","Maternal",-1.05203330249804,0.292956222467242
"9","SPU_000007_Developmental","SPU_000007","Developmental",0.61116010435262,-0.156256967934013
"10","SPU_000007_Maternal","SPU_000007","Maternal",-0.626999109070719,0.168608294393221
"11","SPU_000008_Developmental","SPU_000008","Developmental",-0.315374999853061,0.163847595543012
"12","SPU_000008_Maternal","SPU_000008","Maternal",0.491804254893286,-0.255522729452982
"13","SPU_000009_Developmental","SPU_000009","Developmental",1.4045434080039,-0.920848376825631
"14","SPU_000009_Maternal","SPU_000009","Maternal",0.0218625421782961,0.0483965596673182
"15","SPU_000010_Developmental","SPU_000010","Developmental",0.102567330840331,-0.0150167010458124
"16","SPU_000010_Maternal","SPU_000010","Maternal",-0.830021990329695,0.21983532560855
"17","SPU_000011_Developmental","SPU_000011","Developmental",0.469107518968691,-0.0460183873848417
"18","SPU_000011_Maternal","SPU_000011","Maternal",0.0428809935673764,-0.0136633453717906
"19","SPU_000012_Developmental","SPU_000012","Developmental",0.464215206155965,-0.182687120126931
"20","SPU_000012_Maternal","SPU_000012","Maternal",0.0140279064736057,-0.0252221339260657
"21","SPU_000013_Developmental","SPU_000013","Developmental",-0.598824200278503,0.02167719063957
"22","SPU_000013_Maternal","SPU_000013","Maternal",-0.424544955959281,0.00660775081694124
"23","SPU_000014_Developmental","SPU_000014","Developmental",-2.08215307106484,0.549342818542905
"24","SPU_000014_Maternal","SPU_000014","Maternal",0.979033354368561,-0.390339234898341
"25","SPU_000015_Developmental","SPU_000015","Developmental",-1.01818904278797,0.461430221723966
"26","SPU_000015_Maternal","SPU_000015","Maternal",0.0813590071560378,-0.0581808919377862
"27","SPU_000016_Developmental","SPU_000016","Developmental",-0.21589740421628,0.111965441976264
"28","SPU_000016_Maternal","SPU_000016","Maternal",-0.35517526434433,0.184819979631158
"29","SPU_000017_Developmental","SPU_000017","Developmental",0.720081725747265,-0.10281464480748
"30","SPU_000017_Maternal","SPU_000017","Maternal",-0.498928037391518,-0.0074856933934895
"31","SPU_000021_Developmental","SPU_000021","Developmental",-0.523064502937166,0.161756768769888
"32","SPU_000021_Maternal","SPU_000021","Maternal",-0.894172226629989,0.210923917908666
"33","SPU_000022_Developmental","SPU_000022","Developmental",0.527528705314732,-0.0811004446067954
"34","SPU_000022_Maternal","SPU_000022","Maternal",-0.133175576883283,-0.00198529243405816
"35","SPU_000023_Developmental","SPU_000023","Developmental",-0.116274950074121,0.0751612035313876
"36","SPU_000023_Maternal","SPU_000023","Maternal",0.00651724791046903,0.0476115897283441
"37","SPU_000024_Developmental","SPU_000024","Developmental",-0.314583871756056,0.0463758726345112
"38","SPU_000024_Maternal","SPU_000024","Maternal",0.748489881699356,-0.206807816513491
"39","SPU_000025_Developmental","SPU_000025","Developmental",-0.634886701658135,0.206221627646408
"40","SPU_000025_Maternal","SPU_000025","Maternal",0.823905312679689,-0.219651478470498
"41","SPU_000026_Developmental","SPU_000026","Developmental",-0.123253503642212,-0.0119339170379021
"42","SPU_000026_Maternal","SPU_000026","Maternal",0.898511867080885,-0.106904322415926
"43","SPU_000028_Developmental","SPU_000028","Developmental",0.85125432059185,-0.200659368851527
"44","SPU_000028_Maternal","SPU_000028","Maternal",-1.54175771428149,0.238380615304201
"45","SPU_000029_Developmental","SPU_000029","Developmental",-1.4660313852588,0.744667508946437
"46","SPU_000029_Maternal","SPU_000029","Maternal",0.981593620221555,-0.515140779304609
"47","SPU_000031_Developmental","SPU_000031","Developmental",0.367793103725205,0.121079241177385
"48","SPU_000031_Maternal","SPU_000031","Maternal",2.05793279175775,-0.918013618314707
"49","SPU_000032_Developmental","SPU_000032","Developmental",0.169784407037654,-0.0278268594438445
"50","SPU_000032_Maternal","SPU_000032","Maternal",0.13997331700468,-0.0259560127659279
"51","SPU_000033_Developmental","SPU_000033","Developmental",-0.416033976213487,0.149717259693062
"52","SPU_000033_Maternal","SPU_000033","Maternal",0.90736039562561,-0.311486248338744
"53","SPU_000034_Developmental","SPU_000034","Developmental",-0.016932601234161,0.0188790863359676
"54","SPU_000034_Maternal","SPU_000034","Maternal",0.0211401913321765,0.0157093313055283
"55","SPU_000035_Developmental","SPU_000035","Developmental",-0.141725610968006,0.00373500883931528
"56","SPU_000035_Maternal","SPU_000035","Maternal",-0.00996101420460341,-0.0556530270093789
"57","SPU_000037_Developmental","SPU_000037","Developmental",0.0911697443282512,-0.0454517127695535
"58","SPU_000037_Maternal","SPU_000037","Maternal",0.0331708891117576,0.0110939558747716
"59","SPU_000040_Developmental","SPU_000040","Developmental",-0.180016835334566,0.0383825557491283
